Test Id,Pred Label,S1 Confidence Valid,Stage 2 Label,Label Reason,True Label,curve_id,observed_tmax,n_points_observed,max_gap_hours,missing_frac_on_grid,auc_per_hour,net_change_per_hour,max_slope,lag_time_est,dip_fraction,largest_drop_frac,monotonicity_fraction,roughness,final_to_peak_ratio,has_late_data,late_window_start,late_n_points,late_span_hours,data_quality,growth_z_like,artifact_score,decision_confidence,T0.00 (h),T2.00 (h),T5.50 (h),T8.00 (h),T22.50 (h),T25.50 (h),T29.50 (h),T31.50 (h)
lab_31.5h_3.0_BY4741_A1,Invalid,0.1038,Insufficient,S2_INSUFFICIENT_DATA_QUALITY,Invalid,lab_31.5h_3.0_BY4741_A1,8.0,17,0.5,0.0,0.38287200785643505,-0.0755453337762916,0.20040330197276623,,1.0,0.10552253619610319,0.3125,0.08063234434630064,0.3956373297896672,False,16.0,4,,0.0,0.0,0.5,0.0,5.584,4.802,3.554,4.393,5.13,5.479,4.737,4.928
lab_31.5h_3.0_BY4741_A2,Valid,0.9475,Insufficient,S2_INSUFFICIENT_DATA_QUALITY,Valid,lab_31.5h_3.0_BY4741_A2,8.0,17,0.5,0.0,0.5279581406944065,0.125,0.18063217019198263,1.0,0.0,,1.0,0.02036293415035561,1.0,False,16.0,4,,0.0,0.0,0.5,0.0,0.5421,0.7651,1.4311,1.6452,4.621,4.613,4.035,4.145
