Test Id,Concentration,True Label,T0.00 (h),T2.00 (h),T5.50 (h),T8.00 (h),T22.50 (h),T25.50 (h),T29.50 (h),T31.50 (h)
lab_31.5h_3.0_BY4741_A1,,Invalid,5.584,4.802,3.554,4.393,5.13,5.479,4.737,4.928
lab_31.5h_3.0_BY4741_A2,,Valid,0.5421,0.7651,1.4311,1.6452,4.621,4.613,4.035,4.145
