Test Id,Concentration,curve_key,Pred Label,S1 Confidence Valid,Stage 2 Label,Label Reason,True Label,curve_id,observed_tmax,n_points_observed,max_gap_hours,missing_frac_on_grid,auc_per_hour,net_change_per_hour,max_slope,lag_time_est,dip_fraction,largest_drop_frac,monotonicity_fraction,roughness,final_to_peak_ratio,has_late_data,late_window_start,late_n_points,late_span_hours,data_quality,growth_z_like,artifact_score,decision_confidence,T0.00 (h),T0.25 (h),T0.50 (h),T0.75 (h),T1.00 (h),T1.25 (h),T1.50 (h),T1.75 (h),T2.00 (h),T2.25 (h),T2.50 (h),T2.75 (h),T3.00 (h),T3.25 (h),T3.50 (h),T3.75 (h),T4.00 (h),T4.25 (h),T4.50 (h),T4.75 (h),T5.00 (h),T5.25 (h),T5.50 (h),T5.75 (h),T6.00 (h),T6.25 (h),T6.50 (h),T6.75 (h),T7.00 (h),T7.25 (h),T7.50 (h),T7.75 (h),T8.00 (h),T8.25 (h),T8.50 (h),T8.75 (h),T9.00 (h),T9.25 (h),T9.50 (h),T11.25 (h),T11.50 (h),T11.75 (h),T12.00 (h),T12.25 (h),T12.50 (h),T12.75 (h),T13.00 (h),T13.25 (h),T13.50 (h),T13.75 (h),T14.00 (h),T14.25 (h),T14.50 (h),T14.75 (h),T15.00 (h),T15.25 (h),T15.50 (h),T15.75 (h),T16.00 (h)
lab_16h_0.25_Sparse_Test1,0.01,lab_16h_0.25_Sparse_Test1||0.01,Valid,0.9223,Insufficient,S2_INSUFFICIENT_DATA_QUALITY,Valid,lab_16h_0.25_Sparse_Test1,15.5,32,0.5,0.0,0.471320868636073,0.06210161173994486,0.18063523894966216,3.5,0.038084683448554646,0.017292029482646076,0.8387096774193549,0.030206723086017538,0.9625749819691454,False,16.0,0,,0.0,0.0,0.5,0.0,0.017,,0.016,0.018,,,,,,0.028,0.03,0.032,0.033,0.037,0.041,0.042,,,,,,,0.057,0.061,0.064,,,,0.079,,,,,,0.114,0.118,0.124,0.134,0.141,0.208,0.217,0.227,0.229,0.232,0.233,,,,,0.232,0.234,0.232,,,,,,0.224,
lab_16h_0.25_Sparse_Test2,0.03,lab_16h_0.25_Sparse_Test2||0.03,Valid,0.9407,Insufficient,S2_INSUFFICIENT_DATA_QUALITY,Valid,lab_16h_0.25_Sparse_Test2,15.0,31,0.5,0.0,0.4306648936170212,0.06452127659574468,0.164627659574468,4.0,0.03218085106382984,0.01954787234042532,0.9,0.027129804141886194,0.9678191489361702,False,16.0,0,,0.0,0.0,0.5,0.0,0.017,0.018,,,0.021,0.02,0.024,0.027,0.025,0.028,0.031,0.032,0.033,0.037,0.038,0.042,0.043,0.044,0.047,0.049,0.05,0.054,0.057,0.059,0.062,0.065,0.069,0.07,0.075,0.08,0.082,0.089,0.093,0.099,0.106,0.11,0.115,0.123,0.129,0.187,0.197,0.205,0.213,0.219,0.224,0.229,0.23,0.231,0.23,0.231,0.233,0.228,0.228,,0.225,0.222,,,
lab_16h_0.25_Sparse_Test3,1.0,lab_16h_0.25_Sparse_Test3||1,Valid,0.9567,Insufficient,S2_INSUFFICIENT_DATA_QUALITY,Valid,lab_16h_0.25_Sparse_Test3,16.0,33,0.5,0.0,0.4072919459470958,0.062480333306308374,0.10254775996358823,3.5,0.00031466709906602386,0.00031466709906602386,0.96875,0.015732742640137968,0.999685332900934,False,16.0,0,,0.0,0.0,0.5,0.0,0.018,,0.016,0.02,0.024,,0.025,0.027,,,,,,,0.038,0.041,0.043,0.046,,0.048,0.049,0.052,0.055,0.058,0.059,0.062,0.065,0.067,0.07,0.072,0.075,0.08,0.083,0.089,0.094,0.097,0.1,0.105,,,,,,,,,,,,,,,,,,0.23,0.23,0.231,0.228
lab_16h_0.25_Sparse_Test4,3.0,lab_16h_0.25_Sparse_Test4||3,Valid,0.9532,Insufficient,S2_INSUFFICIENT_DATA_QUALITY,Valid,lab_16h_0.25_Sparse_Test4,16.0,33,0.5,0.0,0.3437576320563812,0.0625,0.13160281906356852,3.5,0.0,,1.0,0.01847553797357958,1.0,False,16.0,0,,0.0,0.0,0.5,0.0,0.017,0.015,0.017,0.018,0.022,0.022,0.024,0.026,0.025,0.028,0.03,0.032,0.034,0.036,0.038,0.041,0.042,0.043,0.045,0.047,0.045,0.048,,,,,,0.059,0.061,0.063,0.064,0.068,0.07,0.073,0.078,0.078,0.079,0.084,0.086,0.112,0.114,0.12,0.125,0.128,0.133,0.139,0.144,0.147,0.156,0.162,0.17,0.176,,0.19,0.196,,,,0.221
lab_16h_0.25_Sparse_Test5,30.0,lab_16h_0.25_Sparse_Test5||30,Valid,0.9466,Insufficient,S2_INSUFFICIENT_DATA_QUALITY,Valid,lab_16h_0.25_Sparse_Test5,16.0,33,0.5,0.0,0.5629178779069766,0.0625,0.14418604651162792,1.0,0.008720930232558266,0.008720930232558266,0.96875,0.01774921753173105,1.0,False,16.0,0,,0.0,0.0,0.5,0.0,0.017,,0.016,0.022,,,,0.026,0.026,0.027,0.029,0.03,0.033,,,,,,,0.039,0.039,0.039,0.041,0.041,0.041,0.041,0.042,,,,,0.042,0.042,0.044,0.046,,,,0.046,0.052,0.052,0.053,0.053,0.053,0.054,0.055,0.055,,,,,,,,,,,,0.065
lab_16h_0.25_Sparse_Test6,100.0,lab_16h_0.25_Sparse_Test6||100,Valid,0.7157,Insufficient,S2_INSUFFICIENT_DATA_QUALITY,Valid,lab_16h_0.25_Sparse_Test6,16.0,33,0.5,0.0,0.7646053791887125,0.049603174603174635,0.2915931804820693,0.5,0.32907113462668947,0.06525573192239864,0.53125,0.05432449732144376,0.7936507936507942,False,16.0,0,,0.0,0.0,0.5,0.0,0.016,0.015,,0.018,0.021,0.02,0.023,0.024,0.023,,0.027,0.029,0.029,0.032,0.033,0.035,0.035,0.035,0.036,0.037,0.036,0.038,,0.039,0.039,0.038,0.04,0.038,0.037,0.037,0.036,0.037,0.037,0.038,0.039,0.037,0.037,0.038,,0.037,0.037,0.037,0.037,0.037,0.036,,,,0.036,,,,0.037,0.037,0.035,0.035,0.034,0.035,0.035
lab_16h_0.25_Sparse_Test7,300.0,lab_16h_0.25_Sparse_Test7||300,Unsure,0.6518,Insufficient,S1_LOW_CONFIDENCE: Confidence(Valid) = 0.65,Unsure,lab_16h_0.25_Sparse_Test7,16.0,33,0.5,0.0,0.7824340527577938,0.052667865707434036,0.2877697841726622,0.5,0.2797190818773557,0.05899280575539578,0.5625,0.05245926436705902,0.8426858513189446,False,16.0,0,,0.0,0.0,0.5,0.0,0.015,,0.015,0.018,0.021,0.019,0.021,0.024,0.022,0.024,0.025,0.027,0.027,0.028,0.028,0.031,0.03,0.031,0.032,,,0.032,0.031,0.033,0.034,0.032,0.034,0.034,0.033,0.032,0.032,0.033,0.033,0.034,0.034,0.033,0.032,0.033,0.033,0.032,,0.031,,,,,,0.031,0.032,0.031,0.032,,,,,,0.031,0.03,0.031
