Test Id,Concentration,curve_key,Pred Label,S1 Confidence Valid,Stage 2 Label,Label Reason,True Label,curve_id,observed_tmax,n_points_observed,max_gap_hours,missing_frac_on_grid,auc_per_hour,net_change_per_hour,max_slope,lag_time_est,dip_fraction,largest_drop_frac,monotonicity_fraction,roughness,final_to_peak_ratio,has_late_data,late_window_start,late_n_points,late_span_hours,data_quality,growth_z_like,artifact_score,decision_confidence,T0.00 (h),T0.25 (h),T1.00 (h),T1.75 (h),T2.00 (h),T2.25 (h),T2.50 (h),T3.00 (h),T3.50 (h),T3.75 (h),T4.00 (h),T4.25 (h),T4.50 (h),T4.75 (h),T5.00 (h),T5.25 (h),T5.50 (h),T5.75 (h),T6.00 (h),T6.25 (h),T6.50 (h),T6.75 (h),T7.00 (h),T7.25 (h),T7.50 (h),T7.75 (h),T8.00 (h),T8.25 (h),T8.50 (h),T8.75 (h),T9.00 (h),T9.25 (h),T9.50 (h),T11.25 (h),T11.75 (h),T13.00 (h),T13.25 (h),T13.75 (h),T14.50 (h),T15.25 (h),T15.50 (h),T15.75 (h),T16.00 (h)
lab_16h_0.25_Sparse_Extr_Test1,0.01,lab_16h_0.25_Sparse_Extr_Test1||0.01,Valid,0.9484,Insufficient,S2_INSUFFICIENT_DATA_QUALITY,Valid,lab_16h_0.25_Sparse_Extr_Test1,15.5,32,0.5,0.0,0.46865560298557046,0.06270479890354146,0.18662072706298427,3.5,0.02807561699510741,0.0129949998663067,0.9032258064516129,0.02711509081145383,0.9719243830048926,False,16.0,0,,0.0,0.0,0.5,0.0,0.017,,,,,0.028,0.03,,,0.042,,,,,,,0.057,0.061,0.064,,,,0.079,,,,,,0.114,0.118,0.124,0.134,0.141,0.208,,,,0.232,,,,0.224,
lab_16h_0.25_Sparse_Extr_Test2,0.03,lab_16h_0.25_Sparse_Extr_Test2||0.03,Valid,0.9401,Insufficient,S2_INSUFFICIENT_DATA_QUALITY,Valid,lab_16h_0.25_Sparse_Extr_Test2,15.0,31,0.5,0.0,0.43205617436358196,0.06454749522906116,0.16040349793032416,3.5,0.03178757156408274,0.017727037263779333,0.9,0.025041242748654356,0.9682124284359173,False,16.0,0,,0.0,0.0,0.5,0.0,0.017,0.018,,0.027,,,,,,,,0.044,0.047,,,,,,,,,0.07,,,,,,,,,0.115,,0.129,0.187,,,0.231,,,0.222,,,
lab_16h_0.25_Sparse_Extr_Test3,1.0,lab_16h_0.25_Sparse_Extr_Test3||1,Valid,0.9553,Insufficient,S2_INSUFFICIENT_DATA_QUALITY,Valid,lab_16h_0.25_Sparse_Extr_Test3,16.0,33,0.5,0.0,0.4058576004729201,0.06248022909396153,0.1030911529149654,4.0,0.00031633449661550017,0.00031633449661550017,0.96875,0.01573997877415218,0.9996836655033845,False,16.0,0,,0.0,0.0,0.5,0.0,0.018,,0.024,,,,,,0.038,,,0.046,,0.048,,,,,0.059,,,,0.07,,,,,,,,0.1,0.105,,,,,,,,0.23,0.23,0.231,0.228
lab_16h_0.25_Sparse_Extr_Test4,3.0,lab_16h_0.25_Sparse_Extr_Test4||3,Valid,0.9527,Insufficient,S2_INSUFFICIENT_DATA_QUALITY,Valid,lab_16h_0.25_Sparse_Extr_Test4,16.0,33,0.5,0.0,0.3421100700312102,0.0625,0.13459020796805565,3.5,0.0,,1.0,0.018403604868074762,1.0,False,16.0,0,,0.0,0.0,0.5,0.0,0.017,0.015,,0.026,0.025,,,0.034,,,,,,0.047,0.045,0.048,,,,,,0.059,,,,,,,,,0.079,0.084,0.086,0.112,,0.144,0.147,,,,,,0.221
lab_16h_0.25_Sparse_Extr_Test5,30.0,lab_16h_0.25_Sparse_Extr_Test5||30,Valid,0.942,Insufficient,S2_INSUFFICIENT_DATA_QUALITY,Valid,lab_16h_0.25_Sparse_Extr_Test5,16.0,33,0.5,0.0,0.5562686011904759,0.0625,0.11451247165532874,1.0,0.008928571428571508,0.008928571428571508,0.96875,0.015998305624736153,1.0,False,16.0,0,,0.0,0.0,0.5,0.0,0.017,,,,,,,0.033,,,,,,0.039,0.039,0.039,0.041,0.041,0.041,0.041,0.042,,,,,0.042,0.042,0.044,0.046,,,,0.046,0.052,,0.055,,,,,,,0.065
lab_16h_0.25_Sparse_Extr_Test6,100.0,lab_16h_0.25_Sparse_Extr_Test6||100,Unsure,0.6668,Insufficient,S1_LOW_CONFIDENCE: Confidence(Valid) = 0.67,Unsure,lab_16h_0.25_Sparse_Extr_Test6,16.0,33,0.5,0.0,0.7887228769173216,0.052700617283950715,0.24691358024691396,0.5,0.22463991769547154,0.057407407407407685,0.5625,0.05007332603236948,0.8432098765432114,False,16.0,0,,0.0,0.0,0.5,0.0,0.016,0.015,0.021,0.024,0.023,,,,,,,,,0.037,0.036,,,,0.039,0.038,,0.038,0.037,0.037,0.036,,,,,,0.037,0.038,,0.037,,,,,0.037,,,,0.035
lab_16h_0.25_Sparse_Extr_Test7,300.0,lab_16h_0.25_Sparse_Extr_Test7||300,Unsure,0.5321,Insufficient,S1_LOW_CONFIDENCE: Confidence(Valid) = 0.53,Unsure,lab_16h_0.25_Sparse_Extr_Test7,16.0,33,0.5,0.0,0.820300174667568,0.05620351588911423,0.4228082037412674,0.5,0.14796033355871152,0.03222898354744208,0.5625,0.05714805151824671,0.8992562542258277,False,16.0,0,,0.0,0.0,0.5,0.0,0.015,,0.021,0.024,0.022,,,,,0.031,0.03,0.031,0.032,,,0.032,0.031,,,,,,,0.032,0.032,,,,,,0.032,,0.033,0.032,0.031,,0.031,,,,0.031,0.03,0.031
